latent_type,filename,latent_id,area,normalised_area,max_coeff,pos_steered_score_delta,neg_steered_score_delta
sentiment,steer-pos_vs_neg-pos_vs_neg,0,67.77,0.08,900.0,0.03,0.01
sentiment,steer-pos_vs_neg-pos_vs_neg,1,187.15,0.21,1000.0,0.03,-0.06
sentiment,steer-pos_vs_neg-pos_vs_neg,2,116.38,0.19,700.0,0.07,-0.23
sentiment,steer-pos_vs_neg-pos_vs_neg,3,307.62,0.28,1200.0,-0.10,-0.72
sentiment,steer-pos_vs_neg-pos_vs_neg,4,84.50,0.09,1000.0,0.02,-0.01
sentiment,steer-pos_vs_neg-pos_vs_neg,5,-5.08,-0.01,700.0,-0.14,-0.07
sentiment,steer-pos_vs_neg-pos_vs_neg,6,490.19,0.54,1000.0,0.05,-0.81
sentiment,steer-pos_vs_neg-pos_vs_neg,7,-18.00,-0.03,800.0,-0.10,0.00
sentiment,steer-pos_vs_neg-pos_vs_neg,8,237.69,0.24,1100.0,-0.03,-0.37
sentiment,steer-pos_vs_neg-pos_vs_neg,9,108.00,0.15,800.0,0.04,-0.78
